edit,edit,frequency,edit_from,edit_to,transformed_frequency,first_letter,second_letter
er|re,er|re,189,er,re,0.30520728144191867,e,r
ei|ie,ei|ie,122,ei,ie,0.3240062905372175,e,i
el|le,el|le,121,el,le,0.3243819727538636,e,l
re|er,re|er,113,re,er,0.3275382596652337,r,e
et|te,et|te,96,et,te,0.33531490661256436,e,t
ic|ci,ic|ci,94,ic,ci,0.3363461140055768,i,c
in|ni,in|ni,82,in,ni,0.34319282241791993,i,n
ie|ei,ie|ei,81,ie,ei,0.34382160936333256,i,e
le|el,le|el,75,le,el,0.3478186752863497,l,e
en|ne,en|ne,74,en,ne,0.34852535371167637,e,n
it|ti,it|ti,72,it,ti,0.3499767707289835,i,t
de|ed,de|ed,68,de,ed,0.353043902356014,d,e
is|si,is|si,67,is,si,0.35384767559737584,i,s
se|es,se|es,64,se,es,0.35635633112309495,s,e
ne|en,ne|en,62,ne,en,0.3581159490485675,n,e
si|is,si|is,57,si,is,0.36286117925190725,s,i
ni|in,ni|in,56,ni,in,0.3638761213472617,n,i
ia|ai,ia|ai,56,ia,ai,0.3638761213472617,i,a
es|se,es|se,51,es,se,0.3693348408206978,e,s
me|em,me|em,49,me,em,0.37172011639738944,m,e
ra|ar,ra|ar,47,ra,ar,0.3742377911161279,r,a
an|na,an|na,44,an,na,0.3782931349197638,a,n
ir|ri,ir|ri,43,ir,ri,0.37972735078002484,i,r
ro|or,ro|or,42,ro,or,0.3812066217497452,r,o
il|li,il|li,41,il,li,0.38273353435958046,i,l
em|me,em|me,41,em,me,0.38273353435958046,e,m
ar|ra,ar|ra,40,ar,ra,0.38431089342012037,a,r
au|ua,au|ua,39,au,ua,0.385941746604149,a,u
ci|ic,ci|ic,38,ci,ic,0.38762941252569555,c,i
te|et,te|et,37,te,et,0.3893775129223119,t,e
ti|it,ti|it,33,ti,it,0.39705954537956056,t,i
na|an,na|an,33,na,an,0.39705954537956056,n,a
ai|ia,ai|ia,32,ai,ia,0.3991776974050296,a,i
th|ht,th|ht,32,th,ht,0.3991776974050296,t,h
ht|th,ht|th,31,ht,th,0.4013869212466589,h,t
or|ro,or|ro,30,or,ro,0.40369440861835026,o,r
ri|ir,ri|ir,28,ri,ir,0.40863727932254507,r,i
ec|ce,ec|ce,27,ec,ce,0.4112918086306602,e,c
ol|lo,ol|lo,26,ol,lo,0.414083244786221,o,l
ig|gi,ig|gi,26,ig,gi,0.414083244786221,i,g
ae|ea,ae|ea,25,ae,ea,0.4170246112844971,a,e
at|ta,at|ta,25,at,ta,0.4170246112844971,a,t
ev|ve,ev|ve,23,ev,ve,0.42341881428904443,e,v
st|ts,st|ts,23,st,ts,0.42341881428904443,s,t
ed|de,ed|de,23,ed,de,0.42341881428904443,e,d
ue|eu,ue|eu,21,ue,eu,0.43062255242977826,u,e
on|no,on|no,21,on,no,0.43062255242977826,o,n
mi|im,mi|im,21,mi,im,0.43062255242977826,m,i
fe|ef,fe|ef,21,fe,ef,0.43062255242977826,f,e
im|mi,im|mi,21,im,mi,0.43062255242977826,i,m
li|il,li|il,21,li,il,0.43062255242977826,l,i
oi|io,oi|io,19,oi,io,0.43883638827026494,o,i
lo|ol,lo|ol,19,lo,ol,0.43883638827026494,l,o
sa|as,sa|as,18,sa,as,0.4434053967922575,s,a
am|ma,am|ma,18,am,ma,0.4434053967922575,a,m
la|al,la|al,18,la,al,0.4434053967922575,l,a
if|fi,if|fi,17,if,fi,0.4483402378845171,i,f
iu|ui,iu|ui,17,iu,ui,0.4483402378845171,i,u
ru|ur,ru|ur,17,ru,ur,0.4483402378845171,r,u
ib|bi,ib|bi,17,ib,bi,0.4483402378845171,i,b
ce|ec,ce|ec,16,ce,ec,0.4536958096060714,c,e
uo|ou,uo|ou,15,uo,ou,0.4595395509441786,u,o
ba|ab,ba|ab,14,ba,ab,0.4659554245485504,b,a
ta|at,ta|at,14,ta,at,0.4659554245485504,t,a
gi|ig,gi|ig,14,gi,ig,0.4659554245485504,g,i
us|su,us|su,14,us,su,0.4659554245485504,u,s
al|la,al|la,14,al,la,0.4659554245485504,a,l
io|oi,io|oi,14,io,oi,0.4659554245485504,i,o
ts|st,ts|st,13,ts,st,0.47304957292670674,t,s
ua|au,ua|au,13,ua,au,0.47304957292670674,u,a
ag|ga,ag|ga,13,ag,ga,0.47304957292670674,a,g
ud|du,ud|du,12,ud,du,0.48095855130519694,u,d
ur|ru,ur|ru,12,ur,ru,0.48095855130519694,u,r
mo|om,mo|om,12,mo,om,0.48095855130519694,m,o
id|di,id|di,12,id,di,0.48095855130519694,i,d
ep|pe,ep|pe,12,ep,pe,0.48095855130519694,e,p
eo|oe,eo|oe,12,eo,oe,0.48095855130519694,e,o
ca|ac,ca|ac,12,ca,ac,0.48095855130519694,c,a
lu|ul,lu|ul,11,lu,ul,0.48986165536421117,l,u
ah|ha,ah|ha,11,ah,ha,0.48986165536421117,a,h
pe|ep,pe|ep,11,pe,ep,0.48986165536421117,p,e
ul|lu,ul|lu,10,ul,lu,0.5,u,l
di|id,di|id,10,di,id,0.5,d,i
po|op,po|op,10,po,op,0.5,p,o
ac|ca,ac|ca,10,ac,ca,0.5,a,c
ng|gn,ng|gn,10,ng,gn,0.5,n,g
op|po,op|po,10,op,po,0.5,o,p
gd|dg,gd|dg,9,gd,dg,0.5117072191244584,g,d
om|mo,om|mo,9,om,mo,0.5117072191244584,o,m
cy|yc,cy|yc,9,cy,yc,0.5117072191244584,c,y
dl|ld,dl|ld,9,dl,ld,0.5117072191244584,d,l
ma|am,ma|am,9,ma,am,0.5117072191244584,m,a
un|nu,un|nu,9,un,nu,0.5117072191244584,u,n
eg|ge,eg|ge,9,eg,ge,0.5117072191244584,e,g
ge|eg,ge|eg,8,ge,eg,0.5254612271806532,g,e
ey|ye,ey|ye,8,ey,ye,0.5254612271806532,e,y
do|od,do|od,8,do,od,0.5254612271806532,d,o
ef|fe,ef|fe,8,ef,fe,0.5254612271806532,e,f
hc|ch,hc|ch,8,hc,ch,0.5254612271806532,h,c
ct|tc,ct|tc,8,ct,tc,0.5254612271806532,c,t
iv|vi,iv|vi,8,iv,vi,0.5254612271806532,i,v
wo|ow,wo|ow,8,wo,ow,0.5254612271806532,w,o
'n|n','n|n',8,'n,n',0.5254612271806532,',n
su|us,su|us,8,su,us,0.5254612271806532,s,u
ap|pa,ap|pa,8,ap,pa,0.5254612271806532,a,p
os|so,os|so,8,os,so,0.5254612271806532,o,s
oc|co,oc|co,7,oc,co,0.5419766203817945,o,c
ug|gu,ug|gu,7,ug,gu,0.5419766203817945,u,g
uc|cu,uc|cu,7,uc,cu,0.5419766203817945,u,c
ao|oa,ao|oa,7,ao,oa,0.5419766203817945,a,o
ys|sy,ys|sy,7,ys,sy,0.5419766203817945,y,s
vi|iv,vi|iv,7,vi,iv,0.5419766203817945,v,i
ea|ae,ea|ae,7,ea,ae,0.5419766203817945,e,a
dn|nd,dn|nd,7,dn,nd,0.5419766203817945,d,n
hw|wh,hw|wh,7,hw,wh,0.5419766203817945,h,w
ow|wo,ow|wo,6,ow,wo,0.5623818557528477,o,w
s'|'s,s'|'s,6,s','s,0.5623818557528477,s,'
fi|if,fi|if,6,fi,if,0.5623818557528477,f,i
gn|ng,gn|ng,6,gn,ng,0.5623818557528477,g,n
eh|he,eh|he,6,eh,he,0.5623818557528477,e,h
rt|tr,rt|tr,6,rt,tr,0.5623818557528477,r,t
ui|iu,ui|iu,6,ui,iu,0.5623818557528477,u,i
nu|un,nu|un,6,nu,un,0.5623818557528477,n,u
lp|pl,lp|pl,6,lp,pl,0.5623818557528477,l,p
ka|ak,ka|ak,6,ka,ak,0.5623818557528477,k,a
ut|tu,ut|tu,6,ut,tu,0.5623818557528477,u,t
yl|ly,yl|ly,5,yl,ly,0.588591910067779,y,l
no|on,no|on,5,no,on,0.588591910067779,n,o
sr|rs,sr|rs,5,sr,rs,0.588591910067779,s,r
sy|ys,sy|ys,5,sy,ys,0.588591910067779,s,y
ot|to,ot|to,5,ot,to,0.588591910067779,o,t
ek|ke,ek|ke,5,ek,ke,0.588591910067779,e,k
eu|ue,eu|ue,5,eu,ue,0.588591910067779,e,u
ya|ay,ya|ay,5,ya,ay,0.588591910067779,y,a
tn|nt,tn|nt,5,tn,nt,0.588591910067779,t,n
tu|ut,tu|ut,5,tu,ut,0.588591910067779,t,u
oh|ho,oh|ho,5,oh,ho,0.588591910067779,o,h
nw|wn,nw|wn,5,nw,wn,0.588591910067779,n,w
ye|ey,ye|ey,5,ye,ey,0.588591910067779,y,e
kn|nk,kn|nk,5,kn,nk,0.588591910067779,k,n
ve|ev,ve|ev,5,ve,ev,0.588591910067779,v,e
ws|sw,ws|sw,5,ws,sw,0.588591910067779,w,s
mu|um,mu|um,5,mu,um,0.588591910067779,m,u
we|ew,we|ew,4,we,ew,0.6241963505817848,w,e
to|ot,to|ot,4,to,ot,0.6241963505817848,t,o
yr|ry,yr|ry,4,yr,ry,0.6241963505817848,y,r
lt|tl,lt|tl,4,lt,tl,0.6241963505817848,l,t
sp|ps,sp|ps,4,sp,ps,0.6241963505817848,s,p
ou|uo,ou|uo,4,ou,uo,0.6241963505817848,o,u
lc|cl,lc|cl,4,lc,cl,0.6241963505817848,l,c
tl|lt,tl|lt,4,tl,lt,0.6241963505817848,t,l
lb|bl,lb|bl,4,lb,bl,0.6241963505817848,l,b
go|og,go|og,4,go,og,0.6241963505817848,g,o
pm|mp,pm|mp,4,pm,mp,0.6241963505817848,p,m
cu|uc,cu|uc,4,cu,uc,0.6241963505817848,c,u
oe|eo,oe|eo,4,oe,eo,0.6241963505817848,o,e
sn|ns,sn|ns,4,sn,ns,0.6241963505817848,s,n
sl|ls,sl|ls,4,sl,ls,0.6241963505817848,s,l
cs|sc,cs|sc,3,cs,sc,0.6769924925288455,c,s
so|os,so|os,3,so,os,0.6769924925288455,s,o
ih|hi,ih|hi,3,ih,hi,0.6769924925288455,i,h
sm|ms,sm|ms,3,sm,ms,0.6769924925288455,s,m
av|va,av|va,3,av,va,0.6769924925288455,a,v
cn|nc,cn|nc,3,cn,nc,0.6769924925288455,c,n
pi|ip,pi|ip,3,pi,ip,0.6769924925288455,p,i
du|ud,du|ud,3,du,ud,0.6769924925288455,d,u
as|sa,as|sa,3,as,sa,0.6769924925288455,a,s
kr|rk,kr|rk,3,kr,rk,0.6769924925288455,k,r
ze|ez,ze|ez,3,ze,ez,0.6769924925288455,z,e
oa|ao,oa|ao,3,oa,ao,0.6769924925288455,o,a
nk|kn,nk|kn,3,nk,kn,0.6769924925288455,n,k
uf|fu,uf|fu,2,uf,fu,0.7686217868402407,u,f
ln|nl,ln|nl,2,ln,nl,0.7686217868402407,l,n
bi|ib,bi|ib,2,bi,ib,0.7686217868402407,b,i
sk|ks,sk|ks,2,sk,ks,0.7686217868402407,s,k
tr|rt,tr|rt,2,tr,rt,0.7686217868402407,t,r
ad|da,ad|da,2,ad,da,0.7686217868402407,a,d
va|av,va|av,2,va,av,0.7686217868402407,v,a
ab|ba,ab|ba,2,ab,ba,0.7686217868402407,a,b
nr|rn,nr|rn,2,nr,rn,0.7686217868402407,n,r
rp|pr,rp|pr,2,rp,pr,0.7686217868402407,r,p
iy|yi,iy|yi,2,iy,yi,0.7686217868402407,i,y
ew|we,ew|we,2,ew,we,0.7686217868402407,e,w
ms|sm,ms|sm,2,ms,sm,0.7686217868402407,m,s
mr|rm,mr|rm,2,mr,rm,0.7686217868402407,m,r
eb|be,eb|be,2,eb,be,0.7686217868402407,e,b
pl|lp,pl|lp,2,pl,lp,0.7686217868402407,p,l
og|go,og|go,2,og,go,0.7686217868402407,o,g
ps|sp,ps|sp,2,ps,sp,0.7686217868402407,p,s
pu|up,pu|up,2,pu,up,0.7686217868402407,p,u
hp|ph,hp|ph,2,hp,ph,0.7686217868402407,h,p
da|ad,da|ad,2,da,ad,0.7686217868402407,d,a
rd|dr,rd|dr,2,rd,dr,0.7686217868402407,r,d
yd|dy,yd|dy,2,yd,dy,0.7686217868402407,y,d
nm|mn,nm|mn,2,nm,mn,0.7686217868402407,n,m
od|do,od|do,2,od,do,0.7686217868402407,o,d
ly|yl,ly|yl,2,ly,yl,0.7686217868402407,l,y
iw|wi,iw|wi,2,iw,wi,0.7686217868402407,i,w
xe|ex,xe|ex,2,xe,ex,0.7686217868402407,x,e
ez|ze,ez|ze,2,ez,ze,0.7686217868402407,e,z
wt|tw,wt|tw,1,wt,tw,1.0,w,t
vo|ov,vo|ov,1,vo,ov,1.0,v,o
up|pu,up|pu,1,up,pu,1.0,u,p
yc|cy,yc|cy,1,yc,cy,1.0,y,c
yn|ny,yn|ny,1,yn,ny,1.0,y,n
wa|aw,wa|aw,1,wa,aw,1.0,w,a
uh|hu,uh|hu,1,uh,hu,1.0,u,h
yt|ty,yt|ty,1,yt,ty,1.0,y,t
 t|t , t|t ,1, t,t ,1.0, ,t
tx|xt,tx|xt,1,tx,xt,1.0,t,x
hg|gh,hg|gh,1,hg,gh,1.0,h,g
's|s','s|s',1,'s,s',1.0,',s
aw|wa,aw|wa,1,aw,wa,1.0,a,w
ay|ya,ay|ya,1,ay,ya,1.0,a,y
bm|mb,bm|mb,1,bm,mb,1.0,b,m
br|rb,br|rb,1,br,rb,1.0,b,r
bu|ub,bu|ub,1,bu,ub,1.0,b,u
co|oc,co|oc,1,co,oc,1.0,c,o
cx|xc,cx|xc,1,cx,xc,1.0,c,x
dr|rd,dr|rd,1,dr,rd,1.0,d,r
ex|xe,ex|xe,1,ex,xe,1.0,e,x
fo|of,fo|of,1,fo,of,1.0,f,o
ga|ag,ga|ag,1,ga,ag,1.0,g,a
gl|lg,gl|lg,1,gl,lg,1.0,g,l
gr|rg,gr|rg,1,gr,rg,1.0,g,r
hx|xh,hx|xh,1,hx,xh,1.0,h,x
tf|ft,tf|ft,1,tf,ft,1.0,t,f
ix|xi,ix|xi,1,ix,xi,1.0,i,x
kc|ck,kc|ck,1,kc,ck,1.0,k,c
ke|ek,ke|ek,1,ke,ek,1.0,k,e
kl|lk,kl|lk,1,kl,lk,1.0,k,l
ld|dl,ld|dl,1,ld,dl,1.0,l,d
lw|wl,lw|wl,1,lw,wl,1.0,l,w
mn|nm,mn|nm,1,mn,nm,1.0,m,n
n | n,n | n,1,n , n,1.0,n, 
oz|zo,oz|zo,1,oz,zo,1.0,o,z
pa|ap,pa|ap,1,pa,ap,1.0,p,a
rc|cr,rc|cr,1,rc,cr,1.0,r,c
rw|wr,rw|wr,1,rw,wr,1.0,r,w
sc|cs,sc|cs,1,sc,cs,1.0,s,c
tc|ct,tc|ct,1,tc,ct,1.0,t,c
zi|iz,zi|iz,1,zi,iz,1.0,z,i
